"id","cond","rfapro2","rfapro3","rfapro4","rfapro5","rfapre1","rfapre2","rfapre3","rfapre5","rfbpro2","rfbpro3","rfbpro4","rfbpro5","rfbpre1","rfbpre2","rfbpre3","rfbpre5","RFQpro1r","RFQpre1r","RFQpro2","RFQpre2r","RFQpre3","RFQpre4r","RFQpro3","RFQpre5r","RFQpro4r","RFQpro5","RFQpro6r","strategies_1_TEXT","strategies_2_TEXT","strategies_3_TEXT","strategies_4_TEXT","strategies_5_TEXT","strategies_6_TEXT","strategies_7_TEXT","strategies_8_TEXT","strategies_9_TEXT","strategies_10_TEXT","ideal","growth","idealself","attain","eager","pursueopp","desirable","ought","security","oughtself","maintain","cautious","vigilant","missopp","mistake","feasible","happy","disappoint","satis","low","sad","discourage","tense","agit","calm","onedge","uneasy","relax","stratpro1_1","stratpro1_2","stratpro1_3","stratpro1_4","stratpro1_5","stratpro1_6","stratpro1_7","stratpro1_8","stratpro1_9","stratpro1_10","stratpre1_1","stratpre1_2","stratpre1_3","stratpre1_4","stratpre1_5","stratpre1_6","stratpre1_7","stratpre1_8","stratpre1_9","stratpre1_10","stratpro2_1","stratpro2_2","stratpro2_3","stratpro2_4","stratpro2_5","stratpro2_6","stratpro2_7","stratpro2_8","stratpro2_9","stratpro2_10","stratpre2_1","stratpre2_2","stratpre2_3","stratpre2_4","stratpre2_5","stratpre2_6","stratpre2_7","stratpre2_8","stratpre2_9","stratpre2_10","strat.feas_1","strat.feas_2","strat.feas_3","strat.feas_4","strat.feas_5","strat.feas_6","strat.feas_7","strat.feas_8","strat.feas_9","strat.feas_10","counter1_1_TEXT","counter1_2_TEXT","counter1_3_TEXT","counter1_4_TEXT","counter1_5_TEXT","counter1_6_TEXT","counter1_7_TEXT","counter1_8_TEXT","counter1_9_TEXT","counter1_10_TEXT","counter2_1","counter2_2","counter2_3","counter2_4","counter2_5","counter2_6","counter2_7","counter2_8","counter2_9","counter2_10","age","gender"
424,"2",7,7,6,NA,7,7,7,1,2,1,3,NA,2,1,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Work efficiently (no distractions)","Work for however long it takes","read all the assignments","study without having to cram","","","","","","",4,4,4,4,3,4,3,4,4,4,4,3,3,2,2,3,3,7,3,4,4,3,5,5,6,4,5,4,4,4,4,4,NA,NA,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,4,4,3,3,NA,NA,NA,NA,NA,NA,3,4,4,4,NA,NA,NA,NA,NA,NA,7,7,2,4,NA,NA,NA,NA,NA,NA,"started studying earlier","was not distracted by others","was more organized","","","","","",NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,19,1
441,"1",6,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Observe them, sense their emotions","Ask them ""how are you""","Smile and nod as they talk","Listen to all the details","Commit your time to them","Give them hugs, gifts","Tell them I am there for them if they ever need me","Provide all my personal advice and insight","Share personal experiences relating to friend's experiences","To continue to reach out to this friend frequently",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,9,1,6,6,9,7,5,2,7,7,2,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,3,3,4,2,7,5,5,4,"talked less about my problems ","focused more on what my friend had to say","tried to understand his background more","","","","","",NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,18,2
455,"1",7,7,7,7,7,6,7,4,7,7,7,7,7,6,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not telling lies to my friends","always speaking my mind","not holding back my feelings when I am talking to them","","","","","","","",5,4,4,4,3,3,4,4,4,4,4,5,3,3,5,3,1,6,1,7,7,6,6,6,2,2,7,2,4,5,4,NA,NA,NA,NA,NA,NA,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,4,5,4,NA,NA,NA,NA,NA,NA,NA,4,3,3,NA,NA,NA,NA,NA,NA,NA,3,2,4,NA,NA,NA,NA,NA,NA,NA,"told her to stop talking to me like that.","just walked away.","stopped being her friend.","","","","","",NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,19,2
456,"1",7,7,5,6,5,7,6,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Making fun of my friends","Making fun of myself","Making observational jokes about events currently happening","Make off-topic, strange comments","Make funny faces","Pretend to be stupid","","","","",5,5,4,4,4,3,4,5,3,4,5,1,3,3,2,2,2,8,2,9,9,8,6,7,3,6,6,3,4,4,3,2,2,3,NA,NA,NA,NA,2,3,2,3,2,3,3,NA,NA,NA,3,4,4,2,2,3,NA,NA,NA,NA,2,3,2,3,1,2,NA,NA,NA,NA,3,5,5,2,6,7,NA,NA,NA,NA,"thought about what I was saying prior to speaking","used jokes that I had prepared beforehand","started to make fun of myself more","had made less random comments","made fun of people more","","","",NA,NA,2,2,2,1,2,NA,NA,NA,NA,NA,18,1
462,"1",7,6,7,5,6,5,7,6,7,6,6,6,6,3,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Attentive","Successful","Responsible","Caring","Supportive","","","","","",4,4,3,5,4,4,5,5,4,5,4,2,2,3,4,3,1,9,1,8,7,8,7,8,1,9,9,1,3,3,4,5,4,NA,NA,NA,NA,NA,2,3,2,3,3,NA,NA,NA,NA,NA,3,5,5,4,5,NA,NA,NA,NA,NA,3,5,5,4,4,NA,NA,NA,NA,NA,4,7,5,1,1,NA,NA,NA,NA,NA,"had started the assignment earlier","had asked for help from the teacher or a friend","had not gone out with friends earlier","","","","","",NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,20,1
468,"2",6,4,6,3,6,3,6,6,5,2,5,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"labeling emails with relevant tabs  to group them together","planning a routine so the same tasks are completed at the same time weekly","maintaining a master schedule so nothing is forgotten","keeping a clean space so nothing is lost and things are uncluttered ","","","","","","",5,4,4,4,4,4,4,5,4,4,5,3,4,3,3,2,2,6,2,6,6,7,8,8,2,9,7,3,3,4,5,3,NA,NA,NA,NA,NA,NA,4,4,4,3,NA,NA,NA,NA,NA,NA,2,4,4,2,NA,NA,NA,NA,NA,NA,3,4,4,4,NA,NA,NA,NA,NA,NA,1,4,5,6,NA,NA,NA,NA,NA,NA,"had sent out the initial email at the right time","had not tried to fiddle with the listserv system when i didn't completely understand it","had gotten a better understanding of the listserv system earlier","had asked for help before i tried to change my listserv admin email","had been more careful when switching the emails for the listserv admins","","","",NA,NA,2,1,1,2,1,NA,NA,NA,NA,NA,19,2
478,"1",5,4,6,5,7,6,2,4,5,3,3,4,7,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Be Healthy","Try new Things","Give my best effort at everything","","","","","","","",5,5,5,5,5,4,2,3,4,3,5,3,1,2,4,1,1,9,1,6,1,1,9,3,1,4,4,1,5,3,5,NA,NA,NA,NA,NA,NA,NA,5,4,5,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,1,5,3,NA,NA,NA,NA,NA,NA,NA,"had started studying earlier","had slept more","had gone to class","","","","","",NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,20,1
491,"2",7,7,7,5,6,5,5,4,1,4,6,2,2,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Take initiatives in approaching them","Keep open about everything, hold no secret from myself","initiate conversations","initiate dinner dates, coffee dates","usually being more talkative, bubbly","be the one comforting them and giving them advice","extremely friendly ","caring","","",5,4,5,4,4,4,4,3,4,3,5,3,2,2,2,4,4,4,2,3,4,5,7,2,3,1,7,2,5,5,4,4,4,5,4,5,NA,NA,5,3,3,5,3,3,4,4,NA,NA,5,3,5,3,3,3,5,5,NA,NA,3,3,3,4,4,3,3,3,NA,NA,2,3,2,2,4,3,6,6,NA,NA,"try to open up myself","don't care about people's judgment","am willing to show my weak side to my friends","try to be more talkative and engaged in conversation","","","","",NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA,19,2
495,"2",6,6,6,6,6,5,7,6,7,4,5,3,5,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open mindedness","Stepping in her shoes","Not thinking from my experiences exclusively","","","","","","","",5,5,5,5,4,5,5,5,5,5,5,4,5,3,3,5,8,1,9,1,1,1,1,1,9,1,1,8,5,5,5,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,6,7,5,NA,NA,NA,NA,NA,NA,NA,"had followed her and walked with her to the event","had kept in mind that she wouldn't have wanted to walk by herself","had been more kind instead of teasing","","","","","",NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,18,1
497,"2",5,6,6,6,5,5,5,6,6,6,6,5,4,3,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"use to-do list","write down thoughts as they come in a Word doc","add events to Google calendar","make Google spreadsheets for sign-ups","","","","","","",5,4,5,5,4,4,5,4,5,5,5,3,3,3,4,5,2,8,1,7,2,2,6,7,8,6,9,2,5,3,5,5,NA,NA,NA,NA,NA,NA,5,4,5,5,NA,NA,NA,NA,NA,NA,5,4,5,4,NA,NA,NA,NA,NA,NA,5,5,5,4,NA,NA,NA,NA,NA,NA,1,3,1,1,NA,NA,NA,NA,NA,NA,"had personally reached out to people to cover the slots","had put the $ in a secure place first","didn't imbibe so much","","","","","",NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,20,1
501,"1",6,6,6,5,6,7,6,7,5,3,6,3,5,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"try new courses","explore all distribution requirements","put effort into classes I am not excited about","","","","","","","",4,3,3,4,3,3,3,3,2,2,3,3,2,2,4,4,3,7,4,5,5,6,3,4,4,3,5,4,4,5,3,NA,NA,NA,NA,NA,NA,NA,2,3,4,NA,NA,NA,NA,NA,NA,NA,4,3,4,NA,NA,NA,NA,NA,NA,NA,2,4,4,NA,NA,NA,NA,NA,NA,NA,6,5,2,NA,NA,NA,NA,NA,NA,NA,"had been brave enough to branch out.","had considered what I wanted.","had given less popular options a chance.","","","","","",NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,19,1
504,"1",6,7,6,7,5,6,6,5,5,5,4,3,4,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do all my work for the day before going out/drinking/hanging out with friends.","Attend every class when possible. ","Complete every assignment, even those that are optional. ","Schedule my time using a calendar. ","","","","","","",5,5,5,5,4,3,4,5,4,5,5,3,2,4,5,4,1,9,1,8,8,8,7,7,3,7,7,2,5,4,5,4,NA,NA,NA,NA,NA,NA,5,5,4,4,NA,NA,NA,NA,NA,NA,5,4,4,4,NA,NA,NA,NA,NA,NA,5,3,4,4,NA,NA,NA,NA,NA,NA,1,1,4,3,NA,NA,NA,NA,NA,NA,"had went through more practice problems without looking at the solutions.","had prioritized my time more and actually attempted to study for the course.","had not placed drugs and alcohol over my academics.","","","","","",NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,20,1
507,"2",6,7,6,7,4,4,7,7,5,7,5,6,7,7,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I give my own advice regardless of other's opinions","I make my own friends","I have friends from many different parts of my life","We don't need to spend every moment together","I check in on my friends daily","","","","","",4,4,3,2,3,3,3,4,4,2,4,2,4,4,5,3,2,7,1,7,7,6,7,7,2,7,8,2,4,4,4,3,3,NA,NA,NA,NA,NA,3,4,4,5,3,NA,NA,NA,NA,NA,3,5,5,3,3,NA,NA,NA,NA,NA,3,3,5,3,4,NA,NA,NA,NA,NA,6,3,6,1,2,NA,NA,NA,NA,NA,"had stood up for her","voiced my opinion","hung out with her during the situation","talked to my friends","","","","",NA,NA,1,1,2,1,NA,NA,NA,NA,NA,NA,19,2
511,"1",5,5,6,6,5,5,6,6,3,4,5,3,3,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Listen to everyone","lead by example","weigh all options before making decisions","making people feel included","","","","","","",4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,2,9,2,6,6,3,8,8,1,6,6,3,5,5,5,5,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,5,5,4,4,NA,NA,NA,NA,NA,NA,2,4,3,6,NA,NA,NA,NA,NA,NA,"had prepared the group better","had helped ease intergroup conflict","","","","","","",NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,18,1
520,"2",7,6,7,7,7,6,6,7,6,7,7,7,5,6,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Studying for exams","completing assignments on time","trying my best to learn new thing","taking classes that interest me","","","","","","",5,5,5,5,3,3,4,5,5,5,5,2,4,4,5,4,1,8,1,9,7,8,9,7,2,7,8,1,5,5,5,4,NA,NA,NA,NA,NA,NA,4,4,3,3,NA,NA,NA,NA,NA,NA,3,3,5,4,NA,NA,NA,NA,NA,NA,4,4,4,3,NA,NA,NA,NA,NA,NA,2,2,6,5,NA,NA,NA,NA,NA,NA,"Studied harder","cared more about my grades","asked for help","","","","","",NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,20,2
522,"2",4,6,7,6,3,2,5,1,6,7,6,4,2,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"understanding readings","grasping the discussions","offering new ideas","writing creatively","applying knowledge","connecting knowledge","being prepared","staying organized","being engaged","thinking critically",4,4,4,5,3,3,4,4,4,5,5,3,2,3,3,4,1,7,1,5,5,7,7,7,6,4,5,4,3,5,5,5,5,5,4,4,4,4,NA,5,3,3,3,4,5,5,5,5,3,5,5,5,5,5,4,5,4,5,3,3,3,4,4,4,5,5,5,4,5,5,7,7,5,5,3,3,5,5,"had payed attention to the deadline.","spent more time researching options.","talked to someone about the problem. ","","","","","",NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,19,2
539,"1",5,3,6,6,6,5,7,7,3,5,3,2,5,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Revise answers","Get everywhere on time","Re-read assignments to make sure I don't miss anything","Take careful notes","","","","","","",3,2,1,4,2,2,1,3,5,4,3,4,1,1,3,3,1,9,1,5,5,6,1,7,5,4,3,4,2,3,5,5,NA,NA,NA,NA,NA,NA,5,2,5,3,NA,NA,NA,NA,NA,NA,2,2,1,1,NA,NA,NA,NA,NA,NA,3,1,5,5,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,"read the passage more carefully","actually thought about the passage instead of just taking it at face value","hadn't been in such a hurry","","","","","",NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,18,2
546,"1",4,6,6,4,7,7,5,7,7,6,5,7,1,4,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ask them to tell their side of a situation","Listen carefully ","Ask questions","Think about how you would handle the situation they are going through","Don't judge them","Look for the reasons why something happened ","","","","",5,4,4,4,4,4,4,4,4,4,4,3,3,4,4,2,1,7,2,4,4,5,7,7,2,4,4,4,4,4,4,5,5,4,NA,NA,NA,NA,4,4,4,4,4,4,NA,NA,NA,NA,4,4,4,4,4,4,NA,NA,NA,NA,4,4,4,4,4,4,NA,NA,NA,NA,1,2,1,6,4,4,NA,NA,NA,NA,"had not laughed at his videos","had thought about how I would feel if people were laughing at personal videos of mine","had paid more attention to his face and body language while I was laughing","","","","","",NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,19,2
550,"1",4,4,4,5,3,4,6,NA,5,5,5,NA,6,6,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Take good, thorough notes","Read and note textbook (in addition to lecture)","Study either daily, or every other day, depending on nature of subject","Seek out and do extra problems/practice tests/etc.","","","","","","",5,4,4,5,5,5,4,4,5,4,5,3,3,3,1,4,3,8,4,7,7,1,8,8,2,8,8,2,5,4,3,5,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,4,2,5,4,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,1,1,5,3,NA,NA,NA,NA,NA,NA,"had kept my head about me and not panicked","had budgeted my time and not gotten lost in the details","had studied more so there were no things that I questioned","had relaxed, and calmly evaluated the situation at hand","","","","",NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA,20,1
552,"2",4,3,5,4,5,4,6,4,6,6,4,6,7,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Purposefully approach people who are romantically interested in me","Seeking out people who wish to spend time with me due to their romantic interest in me","Spending time with them because they are attentive to me","","","","","","","",2,1,1,2,3,1,1,1,1,1,1,2,4,4,3,4,8,6,7,1,8,1,1,1,8,2,2,7,4,4,5,NA,NA,NA,NA,NA,NA,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,3,4,4,NA,NA,NA,NA,NA,NA,NA,5,3,2,NA,NA,NA,NA,NA,NA,NA,"had told him no","had explained to him that i only view him as a friend","had suggested meeting up in a more neutral place","had invited other people","","","","",NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,19,2
553,"2",6,6,6,6,3,6,6,6,6,6,6,6,1,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Play around with different words or diction","visually imagine the scene playing out in my head, then describe that scene","purposely try to be provocative, both for myself and for the readers","try to fill in the details that would be observed in everyday life","use personal experiences and feelings as a basis for the subject","","","","","",5,4,3,4,3,2,2,5,3,2,3,2,3,2,2,1,1,7,2,3,1,5,7,5,5,4,4,3,4,5,2,3,5,NA,NA,NA,NA,NA,1,1,2,4,1,NA,NA,NA,NA,NA,1,2,4,1,3,NA,NA,NA,NA,NA,1,1,3,1,2,NA,NA,NA,NA,NA,1,4,5,2,7,NA,NA,NA,NA,NA,"chose a different topic - one that was more on par with my experiences and interest rather than my goal of appearing knowledgeable in politics","was more malleable in my position","did not focus so much on providing an ""alternative/ conservative"" line of thinking and focused on what I really felt","didn't try to argue with facts but with emotion","","","","",NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA,22,1
568,"1",5,5,7,4,5,6,5,5,4,5,7,4,6,7,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Making new, adventurous meals or desserts.","Decorating our apartment.","Coming up with new outfits fo date nights.","Making up fun games for my husband and I to play.","Thinking of creative ways to make chores more fun for the both of us.","Thinking of other ways to resolve arguments that will relieve tension.","Using fun, small surprises to remind my husband how much I love him.","","","",5,5,4,5,5,4,4,4,4,4,5,2,4,4,3,2,1,9,1,8,9,3,8,3,1,7,9,1,5,4,3,4,5,4,5,NA,NA,NA,4,2,4,3,5,5,3,NA,NA,NA,5,4,3,3,4,5,4,NA,NA,NA,3,3,5,3,4,5,3,NA,NA,NA,3,5,2,6,7,7,3,NA,NA,NA,"had put aside selfish feelings for my husband's sake.","had set multiple alarms to wake up to.","hadn't have felt so sorry for myself.","had had a better week.","had just fought the want to sleep and just made dinner anyway.","could have even wrote him a note or text explaining what I was going through so that he could understand that my feelings were not at all caused by him.","had apologized and opened up right then about how I had been feeling.","",NA,NA,1,2,2,2,2,2,2,NA,NA,NA,18,2
573,"1",5,5,5,5,5,4,4,3,5,5,6,4,2,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Work Hard","Ask Questions","Take risks","Take challenging classes","Compare with others","","","","","",4,4,4,4,3,3,2,4,4,4,4,5,4,5,5,2,1,9,1,9,9,9,7,8,2,7,7,1,4,3,3,4,4,NA,NA,NA,NA,NA,4,3,2,1,4,NA,NA,NA,NA,NA,4,3,4,4,2,NA,NA,NA,NA,NA,4,4,3,2,2,NA,NA,NA,NA,NA,6,4,6,4,5,NA,NA,NA,NA,NA,"studied more","payed more attention","tried harder","worked harder","talked to my professor","","","",NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,19,1
577,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explore things that spark my curiosity","Consider both sides of a controversial topic","Avoid placing judgement on things too quickly","Try out courses or activities that I have little previous experience with","Engaging in conversations with new people","Attending events simply because they seem interesting","","","","",5,5,5,5,5,5,3,4,4,4,4,1,2,3,3,2,1,8,1,7,5,9,6,5,2,6,7,2,4,5,5,4,5,3,NA,NA,NA,NA,2,5,5,3,5,2,NA,NA,NA,NA,5,3,3,5,5,2,NA,NA,NA,NA,3,4,5,3,5,4,NA,NA,NA,NA,7,5,5,3,3,2,NA,NA,NA,NA,"had stayed on top of the course work from the beginning and throughout the quarter.","had participated more in discussions.","had left more time to think about our essay topics.","had been more inspired by the lectures.","had spent more time thinking about the concepts we read about.","","","",NA,NA,1,2,2,2,2,NA,NA,NA,NA,NA,19,2
579,"1",4,4,6,5,7,3,7,4,3,4,5,3,2,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I force myself to be social in a new place","I try to meet as many people as possible","I aim not to judge people too quickly","I have an open minded approach to new people","I try to focus on the positives","","","","","",5,5,3,4,4,3,3,4,4,3,4,3,3,4,2,4,2,3,1,6,8,9,7,7,3,6,7,1,4,5,5,5,5,NA,NA,NA,NA,NA,3,2,4,5,5,NA,NA,NA,NA,NA,2,4,3,5,5,NA,NA,NA,NA,NA,4,5,4,5,4,NA,NA,NA,NA,NA,2,5,6,6,7,NA,NA,NA,NA,NA,"stopped caring what other people thought.","was happy with my body.","had let go of my stress and just been calm.","accepted my physical state.","","","","",NA,NA,1,2,2,2,NA,NA,NA,NA,NA,NA,19,1
580,"1",3,4,5,6,7,7,4,4,6,4,5,7,4,6,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Listen closely","Empathize and relate","Do whatever is asked","Be polite","Smile","","","","","",5,5,5,5,5,4,5,5,5,5,5,2,5,5,5,4,1,9,2,8,9,8,8,9,2,8,6,3,5,4,4,5,5,NA,NA,NA,NA,NA,5,5,4,5,4,NA,NA,NA,NA,NA,4,5,5,5,5,NA,NA,NA,NA,NA,4,5,4,5,5,NA,NA,NA,NA,NA,4,7,3,5,1,NA,NA,NA,NA,NA,"had talked to her more","had hung out with her more","had been more experienced","had been more adventurous and outgoing","","","","",NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA,19,1
586,"2",4,4,6,2,2,2,5,3,7,6,6,5,2,3,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Listen and offer support in times of trouble.","Share.","Take time to remind them I care.","Basically just be a polite and respectful human being.","Encourage and support them when they achieve something important.","Try to take an interest in their passions.","","","","",5,4,4,5,3,2,3,4,2,4,4,4,3,2,3,3,1,3,2,3,3,7,6,7,2,4,5,1,5,2,5,2,4,4,NA,NA,NA,NA,3,2,1,4,2,2,NA,NA,NA,NA,5,3,2,2,3,3,NA,NA,NA,NA,3,2,2,4,3,3,NA,NA,NA,NA,6,3,3,7,5,6,NA,NA,NA,NA,"had not felt the need to fix their problem.","had been more supportive.","had been more tactful or delicate.","","","","","",NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,18,1
589,"2",5,5,5,3,5,5,4,5,3,3,4,5,5,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Remember important things going on in my friends' lives and ask about them","Keep in touch when we're far apart geographically","Getting things for each other on holidays/special occasions","","","","","","","",5,5,4,4,5,3,3,5,3,4,4,3,3,3,3,3,1,8,1,7,6,4,7,6,2,6,6,1,5,3,4,NA,NA,NA,NA,NA,NA,NA,3,4,4,NA,NA,NA,NA,NA,NA,NA,5,4,3,NA,NA,NA,NA,NA,NA,NA,3,4,4,NA,NA,NA,NA,NA,NA,NA,7,3,2,NA,NA,NA,NA,NA,NA,NA,"had added it to my calendar and set up a reminder","had been thinking about her more often and remembered as a result","","","","","","",NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,19,2
592,"2",5,4,6,3,5,3,3,4,5,3,6,3,1,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Doing things to help others (getting a friend lunch when she doesn't have time to pick up food herself)","Taking care of others and providing them with means to take care of themselves (when a friend is sick offering Advil, making tea for them, picking up soup) ","Listening to whatever friends need to say","Joking around and making friends laugh","Remaining nonjudgmental","Expressing appreciation of friends","Distracting friends when they feel sad","Giving friends space (to get work done, to sort out emotions, etc)","","",4,5,4,5,4,4,2,4,4,5,4,4,4,4,3,3,3,6,3,6,5,7,8,7,2,9,8,2,3,4,5,5,5,4,5,5,NA,NA,2,2,1,1,1,1,1,3,NA,NA,5,5,5,3,5,3,3,5,NA,NA,4,4,4,5,4,3,4,2,NA,NA,3,3,7,5,7,5,6,3,NA,NA,"had been more patient","had tried talking to her more","had explored other options","had been more accepting","","","","",NA,NA,1,2,2,2,NA,NA,NA,NA,NA,NA,18,2
604,"1",6,7,6,2,5,2,7,5,6,7,4,4,6,4,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Listen to problems faced by friends","Provide advice","Give moral support","Motivate them to do better","Help them resolve their conflicts","Help them reduce stress","Help with academics","","","",5,4,4,4,3,4,4,4,5,4,4,3,4,3,4,4,1,8,7,8,9,7,7,5,7,3,8,1,4,5,4,5,3,2,4,NA,NA,NA,4,1,3,2,5,3,4,NA,NA,NA,4,5,2,5,5,4,2,2,NA,NA,4,1,5,3,3,4,4,NA,NA,NA,2,4,6,5,2,6,1,NA,NA,NA,"could convince my friend that fighting was not the best option.","could resolve the conflict before it reacher that stage","could support my friend, while at the same time stay out of trouble.","felt less scared of the consequences of my action.","","","","",NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,19,1
614,"2",6,6,7,5,6,6,6,4,4,1,4,1,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ask about the situation","Talk to my sister","Go see a movie with her","Ask her if she needs help","Just be there to listen","","","","","",4,4,4,4,3,2,2,4,3,4,4,3,3,5,4,3,4,8,3,6,7,7,3,6,5,5,5,5,3,3,3,3,3,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,4,3,2,4,4,NA,NA,NA,NA,NA,3,3,3,3,4,NA,NA,NA,NA,NA,3,6,3,2,7,NA,NA,NA,NA,NA,"had spent more time focusing on social things instead of schoolwork.","had put myself out there earlier.","had spent more time with the people I care about.","had spent more time doing and less time worrying about what others thought.","","","","",NA,NA,1,1,2,1,NA,NA,NA,NA,NA,NA,19,1
616,"1",6,4,5,3,5,3,4,4,5,4,4,3,5,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pay attention in class","Actually go to class","Ask for help when necessary, even during lecture","Listen to questions","","","","","","",5,5,4,4,5,4,4,5,5,3,5,2,5,3,1,5,9,7,8,6,1,1,3,4,5,6,6,5,5,4,5,3,NA,NA,NA,NA,NA,NA,4,5,3,3,NA,NA,NA,NA,NA,NA,2,1,3,2,NA,NA,NA,NA,NA,NA,4,5,4,2,NA,NA,NA,NA,NA,NA,2,1,2,3,NA,NA,NA,NA,NA,NA,"had taken more time","asked more questions","had more realistic expectations for myself","","","","","",NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,18,1
