"Pnum","Age","Gender","Mot_Explore","Mot_Knowlege","Mot_Learn","Mot_Independent","Mot_Understand","Mot_GiveBack","Mot_Financial","Mot_Help","Mot_Honor","Mot_Rolemodel","rfqpro1r","rfqpro2","rfqpro3","rfqpro4r","rfqpro5","rfqpro6r","rfqpre1r","rfqpre2r","rfqpre3","rfqpre4r","rfqpre5r","RFApro2","RFApro3","RFApro4","RFApro5","RFApre1","RFApre2","RFApre3","RFApre5","RFHpro2","RFHpro3","RFHpro4","RFHpro5","RFHpre1","RFHpre2","RFHpre3","RFHpre5","RFRpro2","RFRpro3","RFRpro4","RFRpro5","RFRpre1","RFRpre2","RFRpre3","RFRpre5","questionnaire1","questionnaire2"
251,18,2,7,7,7,7,7,5,7,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6,6,6,6,7,6,6,7,7,7,6,5,7,7,3,3,4,7,7,7,7,5,1,NA
252,24,1,6,7,6,6,6,5,6,6,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,5,5,3,6,5,4,4,4,3,3,3,3,4,4,6,5,3,4,6,7,5,1,NA
254,20,1,1,4,6,1,6,2,5,3,2,1,1,4,4,3,4,1,1,4,4,2,2,5,6,6,5,6,6,7,4,5,3,5,2,6,3,6,3,5,5,5,4,5,5,5,5,1,1
255,18,1,6,4,6,5,6,7,5,5,6,7,2,5,3,2,5,2,5,5,4,5,5,6,7,6,5,6,5,7,6,6,4,6,6,3,NA,5,5,4,3,5,4,6,5,5,4,1,1
256,18,1,6,7,6,5,6,4,2,1,6,3,2,4,4,2,4,2,2,2,3,3,1,6,7,5,6,6,5,7,7,6,6,5,5,6,5,5,5,7,7,6,7,3,5,7,6,1,1
257,18,2,4,6,7,5,5,4,7,7,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,5,7,7,6,6,6,5,6,5,6,6,6,5,5,6,7,6,7,7,7,7,7,1,NA
258,18,1,4,5,6,5,5,3,7,2,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,5,4,6,3,6,5,7,6,7,6,2,6,6,5,5,4,5,4,2,4,5,4,1,NA
259,20,1,6,7,5,5,6,4,7,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,5,5,6,6,6,5,4,4,5,4,4,4,5,4,6,4,4,6,5,5,5,4,1,NA
260,18,2,7,7,7,6,6,3,5,3,4,4,2,4,5,3,4,1,1,1,5,1,2,5,5,6,5,4,4,5,4,4,4,4,4,2,1,4,4,5,3,4,4,3,3,4,4,1,1
261,19,1,3,4,7,4,2,1,5,1,3,1,4,5,4,4,5,5,3,5,4,5,4,4,6,6,7,5,5,7,7,5,4,4,4,5,6,4,5,6,5,5,5,5,6,6,6,1,1
262,18,2,4,6,6,4,6,6,7,3,3,5,1,4,4,1,5,1,1,3,5,1,1,4,7,6,6,6,5,7,7,4,5,6,5,3,5,4,6,3,5,4,4,6,4,6,5,1,1
264,19,2,6,6,7,7,5,3,7,2,3,4,2,3,3,2,4,5,4,4,3,4,4,6,7,5,5,6,5,6,7,3,3,4,6,5,5,3,6,6,4,4,5,5,3,5,6,1,1
265,18,1,5,3,5,2,2,4,7,4,6,1,2,3,3,3,4,2,2,2,4,4,5,5,6,5,4,6,6,6,6,3,3,4,4,4,4,5,3,6,4,5,3,5,3,4,3,1,1
266,19,1,6,6,6,7,5,1,7,1,2,1,2,4,5,2,4,2,4,5,2,4,4,4,6,5,6,3,6,5,5,3,4,4,5,4,5,3,3,5,5,5,6,6,6,5,5,1,1
267,18,2,7,7,7,7,7,7,7,7,7,7,3,4,3,5,4,4,4,5,4,5,5,6,5,5,6,7,6,6,5,5,4,3,6,7,5,3,5,7,6,6,5,6,6,7,5,1,1
268,18,2,5,6,6,5,6,5,7,1,3,6,2,4,3,2,4,4,2,4,3,2,4,4,6,5,6,6,5,6,5,2,1,4,5,4,2,3,2,5,3,5,5,5,6,7,5,1,1
269,19,2,7,7,6,7,7,5,6,1,2,4,2,4,4,3,4,4,3,1,4,4,5,5,6,6,5,6,3,6,4,4,5,7,6,2,4,6,4,4,4,6,5,3,2,6,3,1,1
271,19,2,7,7,7,7,7,3,7,2,5,2,4,5,3,4,4,4,2,2,1,1,3,6,6,6,6,6,6,6,6,2,4,4,4,6,6,4,3,7,7,6,4,7,7,7,4,1,1
272,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,3,4,2,4,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
273,18,2,7,7,7,7,7,1,7,1,1,7,4,3,4,5,4,5,4,5,4,5,4,2,5,5,5,2,2,4,2,5,7,7,5,6,6,7,7,3,6,7,7,5,4,5,7,1,1
274,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,2,4,1,1,3,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
275,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,3,4,4,4,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
276,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,3,2,4,2,4,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
277,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,2,4,1,1,1,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
278,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,4,4,2,3,2,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
280,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,4,2,3,2,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
281,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,3,2,3,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
282,20,1,6,5,6,5,5,3,7,6,7,3,1,5,4,2,4,1,3,1,1,2,3,4,6,6,6,5,5,7,7,5,6,6,6,4,5,7,7,6,6,6,6,4,5,6,7,1,1
285,19,1,6,6,6,6,2,4,7,5,4,6,3,4,4,2,5,4,2,4,4,5,2,4,5,6,7,5,5,6,5,4,4,4,4,5,5,5,4,6,5,5,NA,6,NA,5,4,1,1
286,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,2,4,4,5,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
287,19,1,4,5,7,5,6,5,7,4,6,5,2,4,4,4,4,3,4,4,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
288,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,4,4,2,1,1,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
289,18,1,5,5,6,5,6,6,7,4,6,5,2,4,4,4,4,4,3,4,3,3,4,5,6,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
290,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,3,5,2,1,1,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
292,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,4,2,5,1,1,2,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
293,20,1,5,6,5,6,5,2,6,2,5,2,3,3,5,1,5,3,1,1,5,1,1,5,6,7,5,5,2,5,5,3,3,3,3,3,3,3,3,5,4,4,6,5,5,5,4,1,1
294,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,4,4,5,1,1,1,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
295,19,1,7,6,7,6,7,6,7,5,6,7,1,4,4,2,4,2,3,2,4,3,4,5,5,6,6,6,5,6,6,4,5,6,3,2,3,6,5,5,6,6,4,5,5,6,5,1,1
296,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,2,5,2,2,1,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
297,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,3,5,1,4,4,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
298,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,4,1,1,1,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
300,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,2,4,1,2,3,4,4,4,6,6,6,6,3,5,6,5,5,6,5,5,2,4,6,6,6,6,5,6,5,5,6,6,1,1
301,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,2,4,4,1,1,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
302,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,4,3,4,2,1,2,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
303,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,4,2,2,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
304,18,1,5,6,6,6,6,2,6,4,2,4,3,4,4,2,4,1,4,2,2,4,3,6,6,5,6,7,6,5,6,4,3,5,4,6,3,3,3,7,6,6,6,6,6,7,7,1,1
305,18,1,5,5,5,3,4,5,7,4,4,7,2,4,3,3,4,2,2,3,4,4,3,5,4,6,6,6,5,5,4,4,5,5,4,3,2,4,5,6,6,5,6,6,5,5,6,1,1
306,18,1,7,7,4,7,4,6,7,7,7,7,1,5,5,2,5,1,4,3,4,4,4,5,5,6,6,6,6,6,2,5,6,6,5,4,4,6,4,5,5,5,4,4,2,4,3,1,1
307,19,1,5,5,7,6,4,3,7,2,6,6,1,4,4,2,4,1,5,2,4,2,2,5,3,6,5,3,5,5,4,5,5,4,5,4,6,5,5,6,7,6,7,5,6,5,7,1,1
308,18,1,4,5,4,3,2,1,7,2,2,2,2,4,4,4,4,2,3,2,3,3,4,4,5,5,6,5,4,6,6,5,4,5,6,3,5,5,5,6,6,7,6,4,6,6,6,1,1
309,18,2,7,7,7,7,4,4,7,5,6,4,2,4,5,3,5,5,2,2,5,3,2,6,7,6,6,2,6,6,5,7,6,7,7,7,7,6,6,6,4,4,5,3,NA,5,4,1,1
310,18,2,5,4,5,2,2,1,7,2,6,6,3,5,4,4,5,1,2,4,4,3,4,4,6,6,6,7,5,5,4,5,5,6,6,6,7,6,4,7,6,6,6,4,4,7,7,1,1
311,18,2,7,7,7,7,7,4,7,1,7,2,1,5,4,4,5,1,3,1,5,3,2,6,6,6,6,6,6,6,6,5,6,6,6,5,6,6,6,2,5,3,4,5,2,5,5,1,1
312,20,2,6,7,7,3,6,2,6,3,2,3,4,4,5,4,4,2,2,2,5,2,2,4,3,6,3,7,6,7,4,5,5,6,7,7,5,5,5,3,3,2,6,7,6,6,4,1,1
313,19,2,4,6,6,5,6,3,3,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,6,6,5,5,4,7,6,7,6,6,6,6,6,6,4,5,4,2,4,5,5,1,NA
314,18,2,7,7,7,7,7,1,7,1,7,1,2,5,5,5,5,5,4,5,4,5,3,5,7,5,7,7,6,5,7,5,7,7,7,6,6,5,5,7,7,7,7,7,7,5,5,1,1
315,21,2,6,5,5,4,5,5,6,4,2,6,1,5,5,2,5,1,4,4,4,4,3,4,6,6,6,5,6,6,6,5,4,6,6,5,5,5,6,7,6,6,6,2,6,6,6,1,1
